customer_id,first_name,last_name,email,phone,address,city,state,zip_code,country,registration_date
1,Danielle,Rodriguez,danielle.rodriguez@moore-smith.com,728.914.8932x52880,54303 Christopher Oval,Port Amandaberg,DC,86975,USA,2024-12-17
2,Stacey,Martin,stacey.martin@brennan.net,001-534-565-7871x33150,03105 Willie Harbors,Lewisberg,VA,75348,USA,2025-05-23
3,Thomas,Mueller,thomas.mueller@lee-davis.biz,(566)970-1065x133,2473 Scott Wall,North Deniseside,MP,02435,USA,2023-05-03
4,Sara,Allison,sara.allison@russell.com,(502)660-6474x6872,98050 Breanna Parkway,North Susan,CO,24857,USA,2023-03-26
5,Brooke,Leonard,brooke.leonard@powell.com,001-790-691-6998,534 Anderson Rue,Stephenland,AL,60569,USA,2025-07-31
6,Yolanda,Ferrell,yolanda.ferrell@medina.com,(651)235-4278,124 Pamela Summit Apt. 449,Lake Matthew,TX,83631,USA,2024-01-24
7,William,King,william.king@davis.com,2053242786,280 Aguilar Drive,Andersonport,MN,05730,USA,2024-06-17
8,Jason,Wright,jason.wright@gomez.biz,+1-423-322-6025x634,73375 Hoover Well Apt. 303,Murphyland,WI,37086,USA,2024-06-07
9,Darlene,Ross,darlene.ross@rivera.com,(894)301-9655,340 Smith Valley Apt. 561,Cindyville,VA,39864,USA,2025-02-04
10,Kyle,Ortiz,kyle.ortiz@terry-spencer.com,(762)999-4680x44369,3872 Justin Shore Suite 134,Port James,AK,06558,USA,2023-12-25
11,Tracey,Carr,tracey.carr@gibson.org,567.463.2016,83172 Contreras Points Suite 798,Rivasside,NV,21362,USA,2024-12-16
12,Shannon,Walton,shannon.walton@ramirez.com,571-843-4558x122,316 Rivera Mountain,Brownchester,MS,77057,USA,2025-11-24
13,Andrew,Gilmore,andrew.gilmore@james.biz,(488)993-7346x70656,806 Christopher Meadow,Port Steven,AR,34600,USA,2024-07-20
14,Mark,Gibson,mark.gibson@juarez-gray.biz,517-208-0531x003,27193 Lyons Trafficway,Garyville,WI,21966,USA,2024-04-06
